55 10
27 26 20
27 46 8
27 47 14
27 37 17
28 12 5
28 40 19
28 26 17
28 45 8
28 29 17
28 33 19
28 27 10
28 49 12
28 48 14
28 1 20
28 3 2
29 54 9
29 23 9
29 33 9
29 32 18
29 9 2
29 48 8
29 14 9
29 10 6
29 37 11
29 52 18
29 39 5
30 20 20
30 2 7
30 38 16
30 32 3
30 51 18
30 52 6
30 45 9
30 5 12
30 34 13
30 42 14
30 43 15
31 38 13
31 10 14
31 53 7
31 15 20
31 30 12
31 22 13
31 36 4
31 20 19
31 27 2
31 50 10
31 40 18
32 2 11
32 22 17
32 23 17
32 15 8
32 8 16
32 30 14
32 26 7
32 44 20
32 50 11
32 18 9
32 27 1
33 38 16
33 2 13
33 28 20
33 27 11
33 53 2
33 7 18
33 22 11
33 21 7
33 13 5
33 39 8
33 35 15
34 4 6
34 16 18
34 35 12
34 32 3
34 20 1
34 7 11
34 21 14
34 45 17
34 33 10
34 43 13
34 13 13
35 48 19
35 7 14
35 45 5
35 44 16
35 10 4
35 34 1
35 46 7
35 6 6
35 54 6
35 28 14
35 36 10
36 32 9
36 18 12
36 28 6
36 23 8
36 2 5
36 21 7
36 52 2
36 29 14
36 6 13
36 11 14
36 26 5
37 6 13
37 11 20
37 51 14
37 53 18
37 31 12
37 45 3
37 8 9
37 4 4
37 28 7
37 16 14
37 32 19
38 25 3
38 53 7
38 27 12
38 18 16
38 19 13
38 11 13
38 0 3
38 35 9
38 23 13
38 6 18
38 12 4
39 27 6
39 49 7
39 41 11
39 21 18
39 50 19
39 51 12
39 38 18
39 24 18
39 23 19
39 19 14
39 43 2
40 6 1
40 50 10
40 24 3
40 51 19
40 11 11
40 9 18
40 7 2
40 4 8
40 32 9
40 25 16
40 23 19
41 22 7
41 54 8
41 32 14
41 49 13
41 16 16
41 21 1
41 11 7
41 48 10
41 52 1
41 15 3
41 36 6
42 52 20
42 6 5
42 46 12
42 32 9
42 25 12
42 8 3
42 41 15
42 22 7
42 47 13
42 10 3
42 23 14
43 53 3
43 41 4
43 37 1
43 16 15
43 13 12
43 54 5
43 19 13
43 4 5
43 51 7
43 36 8
43 48 8
44 27 14
44 54 2
44 30 11
44 36 3
44 18 16
44 10 16
44 11 2
44 31 13
44 35 3
44 14 5
44 3 7
45 5 14
45 25 18
45 33 6
45 4 12
45 46 2
45 19 19
45 7 17
45 26 19
45 28 20
45 51 20
45 13 5
46 13 20
46 18 10
46 2 16
46 30 4
46 47 16
46 44 11
46 12 15
46 15 15
46 11 12
46 1 16
46 52 4
47 54 11
47 43 8
47 12 13
47 40 1
47 44 20
47 53 11
47 0 4
47 21 11
47 48 17
47 51 10
47 34 20
48 45 4
48 7 14
48 28 13
48 8 7
48 31 19
48 10 3
48 17 17
48 41 9
48 47 11
48 27 12
48 42 13
49 2 13
49 1 2
49 12 16
49 37 15
49 34 7
49 20 10
49 33 16
49 21 18
49 10 18
49 7 20
49 39 3
50 29 9
50 37 12
50 9 17
50 13 15
50 17 15
50 54 2
50 40 11
50 8 19
50 20 10
50 32 12
50 19 8
51 2 12
51 37 6
51 26 15
51 41 2
51 21 13
51 40 3
51 11 4
51 52 20
51 22 19
51 19 17
51 7 5
52 54 18
52 48 7
52 15 15
52 6 3
52 53 4
52 8 14
52 49 2
52 26 6
52 39 1
52 32 11
52 16 4
53 5 2
53 46 10
53 49 20
53 44 18
53 16 18
53 12 5
53 13 1
53 26 14
53 42 20
53 21 7
53 38 7
54 49 10
54 18 17
54 41 2
54 45 14
54 28 4
54 2 3
54 51 8
54 6 15
54 47 15
54 22 9
54 37 4
